image_id,image_no,image_name,image_path,longitude,latitude,width,height,format,file_size_bytes
S2_000117,117,"-113.923709,51.154347.jpg",data\processed\images\S2_000117.jpg,-113.923709,51.154347,350,350,JPEG,21892
S2_000118,118,"-113.923715,51.02314.jpg",data\processed\images\S2_000118.jpg,-113.923715,51.02314,350,350,JPEG,21500
S2_000119,119,"-113.923753,50.914845.jpg",data\processed\images\S2_000119.jpg,-113.923753,50.914845,350,350,JPEG,40960
S2_000120,120,"-113.923774,51.125345.jpg",data\processed\images\S2_000120.jpg,-113.923774,51.125345,350,350,JPEG,34040
S2_000121,121,"-113.923888,51.131261.jpg",data\processed\images\S2_000121.jpg,-113.923888,51.131261,350,350,JPEG,31604
S2_000122,122,"-113.923898,51.087797.jpg",data\processed\images\S2_000122.jpg,-113.923898,51.087797,350,350,JPEG,34549
S2_000123,123,"-113.924083,50.94186.jpg",data\processed\images\S2_000123.jpg,-113.924083,50.94186,350,350,JPEG,20214
S2_000124,124,"-113.924288,50.9669.jpg",data\processed\images\S2_000124.jpg,-113.924288,50.9669,350,350,JPEG,23448
S2_000125,125,"-113.924335,51.10357.jpg",data\processed\images\S2_000125.jpg,-113.924335,51.10357,350,350,JPEG,36200
S2_000126,126,"-113.924345,51.122073.jpg",data\processed\images\S2_000126.jpg,-113.924345,51.122073,350,350,JPEG,37219
S2_000127,127,"-113.924442,50.953541.jpg",data\processed\images\S2_000127.jpg,-113.924442,50.953541,350,350,JPEG,26529
S2_000128,128,"-113.924459,51.171598.jpg",data\processed\images\S2_000128.jpg,-113.924459,51.171598,350,350,JPEG,18779
S2_000129,129,"-113.924483,50.996054.jpg",data\processed\images\S2_000129.jpg,-113.924483,50.996054,350,350,JPEG,18577
S2_000130,130,"-113.924497,50.949579.jpg",data\processed\images\S2_000130.jpg,-113.924497,50.949579,350,350,JPEG,25897
S2_000131,131,"-113.924563,51.000153.jpg",data\processed\images\S2_000131.jpg,-113.924563,51.000153,350,350,JPEG,21529
S2_000132,132,"-113.924582,51.043168.jpg",data\processed\images\S2_000132.jpg,-113.924582,51.043168,350,350,JPEG,40827
S2_000133,133,"-113.924583,51.081896.jpg",data\processed\images\S2_000133.jpg,-113.924583,51.081896,350,350,JPEG,33371
S2_000134,134,"-113.924586,51.125917.jpg",data\processed\images\S2_000134.jpg,-113.924586,51.125917,350,350,JPEG,34747
S2_000135,135,"-113.92459,51.068478.jpg",data\processed\images\S2_000135.jpg,-113.92459,51.068478,350,350,JPEG,28684
S2_000136,136,"-113.924648,51.020441.jpg",data\processed\images\S2_000136.jpg,-113.924648,51.020441,350,350,JPEG,22234
S2_000137,137,"-113.92466,50.950168.jpg",data\processed\images\S2_000137.jpg,-113.92466,50.950168,350,350,JPEG,26530
S2_000138,138,"-113.924741,51.108419.jpg",data\processed\images\S2_000138.jpg,-113.924741,51.108419,350,350,JPEG,39662
S2_000139,139,"-113.924794,51.018778.jpg",data\processed\images\S2_000139.jpg,-113.924794,51.018778,350,350,JPEG,22087
S2_000140,140,"-113.924804,51.015784.jpg",data\processed\images\S2_000140.jpg,-113.924804,51.015784,350,350,JPEG,20967
S2_000141,141,"-113.924842,51.081046.jpg",data\processed\images\S2_000141.jpg,-113.924842,51.081046,350,350,JPEG,36619
S2_000142,142,"-113.924923,50.997287.jpg",data\processed\images\S2_000142.jpg,-113.924923,50.997287,350,350,JPEG,19492
S2_000143,143,"-113.924958,51.030692.jpg",data\processed\images\S2_000143.jpg,-113.924958,51.030692,350,350,JPEG,20936
S2_000144,144,"-113.924959,50.961255.jpg",data\processed\images\S2_000144.jpg,-113.924959,50.961255,350,350,JPEG,26223
S2_000145,145,"-113.924984,51.046419.jpg",data\processed\images\S2_000145.jpg,-113.924984,51.046419,350,350,JPEG,40516
S2_000146,146,"-113.925008,51.079819.jpg",data\processed\images\S2_000146.jpg,-113.925008,51.079819,350,350,JPEG,39888
S2_000147,147,"-113.92515,50.908541.jpg",data\processed\images\S2_000147.jpg,-113.92515,50.908541,350,350,JPEG,25737
S2_000148,148,"-113.925155,50.988785.jpg",data\processed\images\S2_000148.jpg,-113.925155,50.988785,350,350,JPEG,14322
S2_000149,149,"-113.925212,50.970756.jpg",data\processed\images\S2_000149.jpg,-113.925212,50.970756,350,350,JPEG,23696
S2_000150,150,"-113.925293,50.89753.jpg",data\processed\images\S2_000150.jpg,-113.925293,50.89753,350,350,JPEG,44635
S2_000151,151,"-113.925318,51.103627.jpg",data\processed\images\S2_000151.jpg,-113.925318,51.103627,350,350,JPEG,38153
S2_000152,152,"-113.925366,51.044951.jpg",data\processed\images\S2_000152.jpg,-113.925366,51.044951,350,350,JPEG,41897
S2_000153,153,"-113.925408,51.12556.jpg",data\processed\images\S2_000153.jpg,-113.925408,51.12556,350,350,JPEG,36680
S2_000154,154,"-113.925423,50.992753.jpg",data\processed\images\S2_000154.jpg,-113.925423,50.992753,350,350,JPEG,14612
